127.0.0.1 - - [25/Nov/2022:18:47:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-regular.eot? HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-500.eot? HTTP/1.1" 200 8716
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-500italic.eot? HTTP/1.1" 200 10148
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-800.eot? HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-900.eot? HTTP/1.1" 200 8382
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-700.eot? HTTP/1.1" 200 8616
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff?v=2.2.0 HTTP/1.1" 200 50312
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-600.eot? HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-800italic.eot? HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-700italic.eot? HTTP/1.1" 200 10015
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:48:03 +0530] "POST /EVENT_MANAGAMENT_SYSTEM/LoginServlet HTTP/1.1" 500 1097
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:48:06 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/vendor/jquery/jquery.min.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:48:06 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/vendor/jquery/jquery.min.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:48:10 +0530] "POST /EVENT_MANAGAMENT_SYSTEM/LoginServlet HTTP/1.1" 500 1097
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:48:19 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/vendor/jquery/jquery.min.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:48:19 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/vendor/jquery/jquery.min.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:48:22 +0530] "POST /EVENT_MANAGAMENT_SYSTEM/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:48:22 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/organizerPage.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:48:26 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/ViewOrganizerBookedEvents HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:50:05 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/LogoutController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:50:05 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/Login.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:50:05 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/vendor/jquery/jquery.min.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:50:14 +0530] "POST /EVENT_MANAGAMENT_SYSTEM/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:50:14 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/userPage.jsp HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:50:19 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/UserViewEvents HTTP/1.1" 200 12158
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:50:22 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/ViewUserEvents HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:50:25 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/UserViewEvents HTTP/1.1" 200 12158
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:51:11 +0530] "POST /EVENT_MANAGAMENT_SYSTEM/BookingServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:51:11 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/UserViewEvents HTTP/1.1" 200 12158
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:51:25 +0530] "POST /EVENT_MANAGAMENT_SYSTEM/BookingServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:51:25 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/UserViewEvents HTTP/1.1" 200 12158
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:51:29 +0530] "POST /EVENT_MANAGAMENT_SYSTEM/BookingServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:51:29 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/UserViewEvents HTTP/1.1" 200 12158
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:51:31 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/ViewUserEvents HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:51:50 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/LogoutController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:51:50 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/Login.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:51:50 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/vendor/jquery/jquery.min.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:52:00 +0530] "POST /EVENT_MANAGAMENT_SYSTEM/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:52:00 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/organizerPage.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:52:03 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/ViewOrganizerBookedEvents HTTP/1.1" 200 4270
